seq,rev_seq,month,open,high,low,close,var_percent,avg_vol,month,year,month_num,year_month
106,1,"Mar. 27, 2014",28.4,28.4,27.65,27.85,0.00%,"432,192",Mar,2014,3,2014-3
105,2,"Apr. 01, 2014",27.93,30.24,25.14,26.33,-5.44%,"64,037,909",Apr,2014,4,2014-4
104,3,"May. 01, 2014",26.35,28.39,25.16,27.99,6.31%,"34,808,252",May,2014,5,2014-5
103,4,"Jun. 02, 2014",28.03,29.12,26.94,28.76,2.75%,"36,121,936",Jun,2014,6,2014-6
102,5,"Jul. 01, 2014",28.92,29.98,28.25,28.58,-0.64%,"31,411,358",Jul,2014,7,2014-7
101,6,"Aug. 01, 2014",28.52,29.37,28,28.58,0.00%,"26,313,579",Aug,2014,8,2014-8
100,7,"Sep. 02, 2014",28.59,29.82,28.41,28.87,1.01%,"31,873,775",Sep,2014,9,2014-9
99,8,"Oct. 01, 2014",28.8,29.05,25.4,27.95,-3.17%,"45,290,843",Oct,2014,10,2014-10
98,9,"Nov. 03, 2014",27.77,27.89,26.5,27.09,-3.09%,"29,943,707",Nov,2014,11,2014-11
97,10,"Dec. 01, 2014",26.94,27.07,24.45,26.32,-2.85%,"41,634,440",Dec,2014,12,2014-12
96,11,"Jan. 02, 2015",26.45,27.11,24.38,26.73,1.54%,"50,099,790",Jan,2015,1,2015-1
95,12,"Feb. 02, 2015",26.59,28.23,25.93,27.92,4.47%,"34,220,020",Feb,2015,2,2015-2
94,13,"Mar. 02, 2015",28.03,28.89,27.21,27.4,-1.86%,"35,039,855",Mar,2015,3,2015-3
93,14,"Apr. 01, 2015",27.43,28.56,26.05,26.87,-1.94%,"40,270,850",Apr,2015,4,2015-4
92,15,"May. 01, 2015",26.92,27.21,26.05,26.61,-0.97%,"31,866,779",May,2015,5,2015-5
91,16,"Jun. 01, 2015",26.84,27.19,26.03,26.03,-2.18%,"31,220,476",Jun,2015,6,2015-6
90,17,"Jul. 01, 2015",26.24,33.93,25.76,31.28,20.19%,"57,563,143",Jul,2015,7,2015-7
89,18,"Aug. 03, 2015",31.27,33.75,28.25,30.91,-1.18%,"51,163,283",Aug,2015,8,2015-8
88,19,"Sep. 01, 2015",30.12,32.55,29.47,30.42,-1.59%,"45,672,595",Sep,2015,9,2015-9
87,20,"Oct. 01, 2015",30.42,36.5,29.99,35.54,16.83%,"45,012,046",Oct,2015,10,2015-10
86,21,"Nov. 02, 2015",35.55,38.14,35.29,37.13,4.47%,"33,939,108",Nov,2015,11,2015-11
85,22,"Dec. 01, 2015",37.36,39,36.21,37.94,2.19%,"39,191,553",Dec,2015,12,2015-12
84,23,"Jan. 04, 2016",37.15,37.6,33.66,37.15,-2.10%,"49,011,826",Jan,2016,1,2016-1
83,24,"Feb. 01, 2016",37.52,39.49,33.15,34.89,-6.08%,"64,367,114",Feb,2016,2,2016-2
82,25,"Mar. 01, 2016",35.18,37.89,34.27,37.25,6.76%,"37,950,334",Mar,2016,3,2016-3
81,26,"Apr. 01, 2016",36.93,38.5,34.45,34.65,-6.97%,"40,147,370",Apr,2016,4,2016-4
80,27,"May. 02, 2016",34.88,36.99,34.45,36.79,6.16%,"33,333,728",May,2016,5,2016-5
79,28,"Jun. 01, 2016",36.73,36.86,33.16,34.61,-5.93%,"35,796,285",Jun,2016,6,2016-6
78,29,"Jul. 01, 2016",34.61,38.93,34.41,38.44,11.08%,"29,914,808",Jul,2016,7,2016-7
